ID;rodada;data;hora;mandante;visitante;vencedor;mandante_Placar;visitante_Placar;time_vencedor;;
1;1;29/03/2003;16:00;Guarani;Vasco;Guarani;4;2;1;;
2;1;29/03/2003;16:00;Athletico-PR;Gremio;Athletico-PR;2;0;1;;
3;1;30/03/2003;16:00;Flamengo;Coritiba;-;1;1;3;;
4;1;30/03/2003;16:00;Goias;Paysandu;-;2;2;3;;
5;1;30/03/2003;16:00;Internacional;Ponte Preta;-;1;1;3;;
6;1;30/03/2003;16:00;Criciuma;Fluminense;Criciuma;2;0;1;;
7;1;30/03/2003;16:00;Juventude;Sao Paulo;-;2;2;3;;
8;1;30/03/2003;16:00;Fortaleza;Bahia;-;0;0;3;;
9;1;30/03/2003;16:00;Cruzeiro;Sao Caetano;-;2;2;3;;
10;1;30/03/2003;16:00;Vitoria;Figueirense;-;1;1;3;;
11;1;30/03/2003;18:00;Santos;Parana;-;2;2;3;;
12;1;30/03/2003;18:00;Corinthians;Atletico-MG;Atletico-MG;0;3;2;;
13;2;05/04/2003;16:00;Fluminense;Fortaleza;-;1;1;3;;
14;2;05/04/2003;16:00;Atletico-MG;Santos;-;0;0;3;;
15;2;05/04/2003;16:00;Coritiba;Internacional;Internacional;0;1;2;;
16;2;05/04/2003;18:00;Gremio;Guarani;Gremio;3;1;1;;
17;2;06/04/2003;16:00;Bahia;Flamengo;Flamengo;1;2;2;;
18;2;06/04/2003;16:00;Figueirense;Corinthians;-;3;3;3;;
19;2;06/04/2003;16:00;Paysandu;Vitoria;Vitoria;1;2;2;;
20;2;06/04/2003;16:00;Ponte Preta;Juventude;Ponte Preta;1;0;1;;
21;2;06/04/2003;16:00;Parana;Athletico-PR;Parana;3;0;1;;
22;2;06/04/2003;16:00;Sao Caetano;Criciuma;Sao Caetano;3;2;1;;
23;2;06/04/2003;18:00;Sao Paulo;Cruzeiro;Cruzeiro;2;4;2;;
24;2;06/04/2003;18:00;Vasco;Goias;Vasco;6;4;1;;
25;4;09/04/2003;21:40;Paysandu;Santos;Paysandu;2;1;1;;
37;3;12/04/2003;16:00;Internacional;Bahia;Internacional;2;0;1;;
38;3;12/04/2003;16:00;Santos;Figueirense;Santos;2;0;1;;
39;3;12/04/2003;16:00;Athletico-PR;Atletico-MG;Atletico-MG;1;2;2;;
40;3;12/04/2003;18:00;Corinthians;Paysandu;Corinthians;6;1;1;;
41;3;13/04/2003;16:00;Vitoria;Vasco;Vitoria;2;1;1;;
42;3;13/04/2003;16:00;Criciuma;Sao Paulo;-;1;1;3;;
43;3;13/04/2003;16:00;Fortaleza;Sao Caetano;-;1;1;3;;
44;3;13/04/2003;16:00;Juventude;Coritiba;Juventude;2;1;1;;
45;3;13/04/2003;16:00;Guarani;Parana;Guarani;2;0;1;;
46;3;13/04/2003;16:00;Goias;Gremio;-;1;1;3;;
47;3;13/04/2003;18:00;Cruzeiro;Ponte Preta;Cruzeiro;3;0;1;;
48;3;13/04/2003;18:00;Flamengo;Fluminense;Flamengo;4;1;1;;
26;4;16/04/2003;20:30;Bahia;Juventude;Bahia;3;1;1;;
27;4;16/04/2003;20:30;Gremio;Vitoria;Gremio;2;1;1;;
28;4;16/04/2003;20:30;Atletico-MG;Guarani;Atletico-MG;3;2;1;;
29;4;16/04/2003;20:30;Figueirense;Athletico-PR;-;1;1;3;;
30;4;16/04/2003;20:30;Ponte Preta;Criciuma;-;1;1;3;;
31;4;16/04/2003;21:40;Sao Caetano;Flamengo;-;1;1;3;;
32;4;16/04/2003;21:40;Vasco;Corinthians;-;2;2;3;;
33;4;16/04/2003;21:40;Coritiba;Cruzeiro;Cruzeiro;3;4;2;;
34;4;17/04/2003;20:30;Fluminense;Internacional;Fluminense;3;1;1;;
35;4;17/04/2003;20:30;Sao Paulo;Fortaleza;Sao Paulo;3;1;1;;
36;4;17/04/2003;20:30;Parana;Goias;Parana;3;1;1;;
144;12;18/04/2003;20:30;Flamengo;Cruzeiro;Flamengo;3;0;1;;
49;5;19/04/2003;16:00;Bahia;Atletico-MG;Atletico-MG;2;4;2;;
50;5;19/04/2003;16:00;Sao Caetano;Gremio;-;1;1;3;;
51;5;19/04/2003;18:00;Flamengo;Santos;Santos;0;2;2;;
52;5;20/04/2003;16:00;Sao Paulo;Vasco;Sao Paulo;3;1;1;;
53;5;20/04/2003;16:00;Internacional;Corinthians;Internacional;2;1;1;;
54;5;20/04/2003;16:00;Criciuma;Guarani;Criciuma;1;0;1;;
55;5;20/04/2003;16:00;Juventude;Vitoria;-;1;1;3;;
56;5;20/04/2003;16:00;Fortaleza;Athletico-PR;Fortaleza;1;0;1;;
57;5;20/04/2003;16:00;Ponte Preta;Paysandu;-;4;4;3;;
58;5;20/04/2003;18:00;Cruzeiro;Goias;Cruzeiro;4;1;1;;
59;5;20/04/2003;18:00;Fluminense;Parana;-;0;0;3;;
60;5;21/04/2003;20:30;Coritiba;Figueirense;Coritiba;1;0;1;;
61;6;26/04/2003;16:00;Atletico-MG;Coritiba;Coritiba;1;2;2;;
62;6;26/04/2003;16:00;Parana;Bahia;Parana;3;1;1;;
63;6;26/04/2003;16:00;Vitoria;Internacional;Internacional;0;3;2;;
64;6;26/04/2003;18:00;Guarani;Cruzeiro;-;1;1;3;;
65;6;27/04/2003;16:00;Corinthians;Flamengo;-;1;1;3;;
66;6;27/04/2003;16:00;Goias;Juventude;Goias;7;0;1;;
67;6;27/04/2003;16:00;Figueirense;Ponte Preta;-;0;0;3;;
68;6;27/04/2003;16:00;Santos;Fortaleza;Santos;4;0;1;;
69;6;27/04/2003;16:00;Gremio;Fluminense;Fluminense;0;1;2;;
70;6;27/04/2003;16:00;Athletico-PR;Criciuma;Athletico-PR;4;2;1;;
71;6;27/04/2003;18:00;Paysandu;Sao Paulo;Paysandu;5;2;1;;
72;6;27/04/2003;18:00;Vasco;Sao Caetano;Vasco;1;0;1;;
73;7;03/05/2003;16:00;Flamengo;Vitoria;Flamengo;2;1;1;;
74;7;03/05/2003;16:00;Bahia;Gremio;Bahia;2;1;1;;
75;7;03/05/2003;18:00;Cruzeiro;Athletico-PR;Cruzeiro;5;2;1;;
76;7;04/05/2003;16:00;Fortaleza;Corinthians;Corinthians;1;2;2;;
77;7;04/05/2003;16:00;Sao Paulo;Figueirense;Sao Paulo;3;2;1;;
78;7;04/05/2003;16:00;Sao Caetano;Paysandu;Sao Caetano;2;0;1;;
79;7;04/05/2003;16:00;Internacional;Goias;Internacional;2;1;1;;
80;7;04/05/2003;16:00;Ponte Preta;Atletico-MG;Ponte Preta;2;1;1;;
81;7;04/05/2003;16:00;Juventude;Guarani;-;1;1;3;;
82;7;04/05/2003;16:00;Coritiba;Parana;Coritiba;2;1;1;;
83;7;04/05/2003;18:00;Criciuma;Santos;Santos;1;3;2;;
84;7;04/05/2003;18:00;Fluminense;Vasco;-;0;0;3;;
85;8;10/05/2003;16:00;Goias;Flamengo;-;1;1;3;;
86;8;10/05/2003;16:00;Santos;Cruzeiro;Cruzeiro;0;2;2;;
87;8;10/05/2003;16:00;Parana;Ponte Preta;Parana;3;2;1;;
88;8;10/05/2003;18:00;Corinthians;Criciuma;Corinthians;3;0;1;;
89;8;11/05/2003;16:00;Vasco;Bahia;-;1;1;3;;
90;8;11/05/2003;16:00;Paysandu;Fluminense;-;2;2;3;;
91;8;11/05/2003;16:00;Atletico-MG;Sao Paulo;-;2;2;3;;
92;8;11/05/2003;16:00;Vitoria;Fortaleza;Vitoria;2;1;1;;
93;8;11/05/2003;16:00;Guarani;Internacional;Guarani;3;0;1;;
94;8;11/05/2003;16:00;Athletico-PR;Juventude;Athletico-PR;2;0;1;;
95;8;11/05/2003;16:00;Figueirense;Sao Caetano;Figueirense;3;0;1;;
96;8;11/05/2003;18:00;Gremio;Coritiba;Gremio;1;0;1;;
97;9;17/05/2003;16:00;Fluminense;Figueirense;Fluminense;3;0;1;;
98;9;17/05/2003;16:00;Sao Caetano;Atletico-MG;Sao Caetano;2;0;1;;
99;9;17/05/2003;18:00;Juventude;Santos;-;1;1;3;;
100;9;18/05/2003;16:00;Bahia;Paysandu;Bahia;2;0;1;;
101;9;18/05/2003;16:00;Internacional;Athletico-PR;-;1;1;3;;
102;9;18/05/2003;16:00;Coritiba;Vasco;-;1;1;3;;
103;9;18/05/2003;16:00;Cruzeiro;Corinthians;-;1;1;3;;
104;9;18/05/2003;16:00;Fortaleza;Goias;Fortaleza;1;0;1;;
105;9;18/05/2003;16:00;Ponte Preta;Gremio;Ponte Preta;2;1;1;;
106;9;18/05/2003;16:00;Criciuma;Vitoria;-;1;1;3;;
107;9;18/05/2003;18:00;Flamengo;Guarani;-;1;1;3;;
108;9;18/05/2003;18:00;Sao Paulo;Parana;Sao Paulo;2;0;1;;
109;10;24/05/2003;16:00;Atletico-MG;Fluminense;Atletico-MG;3;0;1;;
110;10;24/05/2003;16:00;Parana;Sao Caetano;-;1;1;3;;
111;10;24/05/2003;16:00;Corinthians;Juventude;Corinthians;3;0;1;;
112;10;24/05/2003;18:00;Vasco;Ponte Preta;Vasco;1;0;1;;
113;10;25/05/2003;16:00;Athletico-PR;Flamengo;Athletico-PR;4;1;1;;
114;10;25/05/2003;16:00;Paysandu;Coritiba;Coritiba;1;3;2;;
115;10;25/05/2003;16:00;Goias;Criciuma;Criciuma;0;2;2;;
116;10;25/05/2003;16:00;Gremio;Sao Paulo;Sao Paulo;1;2;2;;
117;10;25/05/2003;16:00;Guarani;Fortaleza;Guarani;2;1;1;;
118;10;25/05/2003;16:00;Figueirense;Bahia;Figueirense;1;0;1;;
119;10;25/05/2003;18:00;Vitoria;Cruzeiro;Vitoria;2;1;1;;
120;10;25/05/2003;18:00;Santos;Internacional;Santos;2;1;1;;
121;11;31/05/2003;16:00;Fluminense;Athletico-PR;Fluminense;2;1;1;;
122;11;31/05/2003;16:00;Cruzeiro;Criciuma;Cruzeiro;2;0;1;;
123;11;31/05/2003;16:00;Coritiba;Guarani;Coritiba;3;2;1;;
124;11;31/05/2003;16:00;Ponte Preta;Sao Caetano;-;0;0;3;;
125;11;31/05/2003;18:00;Internacional;Paysandu;Internacional;2;1;1;;
126;11;01/06/2003;16:00;Parana;Flamengo;Parana;6;2;1;;
127;11;01/06/2003;16:00;Bahia;Goias;Bahia;2;1;1;;
128;11;01/06/2003;16:00;Fortaleza;Juventude;Fortaleza;3;1;1;;
129;11;01/06/2003;16:00;Figueirense;Gremio;Figueirense;2;1;1;;
130;11;01/06/2003;16:00;Santos;Sao Paulo;Santos;3;2;1;;
131;11;01/06/2003;18:00;Corinthians;Vitoria;Corinthians;4;0;1;;
132;11;01/06/2003;18:00;Vasco;Atletico-MG;-;2;2;3;;
133;12;07/06/2003;16:00;Vitoria;Fluminense;Vitoria;2;1;1;;
134;12;07/06/2003;16:00;Guarani;Santos;Santos;1;2;2;;
135;12;07/06/2003;16:00;Gremio;Fortaleza;Gremio;3;1;1;;
136;12;07/06/2003;18:00;Atletico-MG;Figueirense;-;1;1;3;;
137;12;08/06/2003;16:00;Paysandu;Parana;Paysandu;3;0;1;;
138;12;08/06/2003;16:00;Juventude;Vasco;-;0;0;3;;
139;12;08/06/2003;16:00;Athletico-PR;Ponte Preta;Athletico-PR;4;2;1;;
140;12;08/06/2003;16:00;Goias;Coritiba;Coritiba;1;2;2;;
141;12;08/06/2003;16:00;Sao Caetano;Corinthians;Sao Caetano;1;0;1;;
142;12;08/06/2003;18:00;Criciuma;Internacional;Criciuma;1;0;1;;
143;12;08/06/2003;18:00;Sao Paulo;Bahia;-;2;2;3;;
145;13;14/06/2003;16:00;Fluminense;Goias;Goias;2;3;2;;
146;13;14/06/2003;16:00;Ponte Preta;Guarani;Guarani;0;2;2;;
147;13;14/06/2003;18:00;Coritiba;Athletico-PR;Coritiba;2;0;1;;
148;13;15/06/2003;16:00;Corinthians;Sao Paulo;Sao Paulo;1;2;2;;
149;13;15/06/2003;16:00;Fortaleza;Paysandu;Paysandu;1;2;2;;
150;13;15/06/2003;16:00;Parana;Juventude;Juventude;1;2;2;;
151;13;15/06/2003;16:00;Gremio;Internacional;-;0;0;3;;
152;13;15/06/2003;16:00;Santos;Sao Caetano;Sao Caetano;0;1;2;;
153;13;15/06/2003;16:00;Criciuma;Figueirense;Criciuma;1;0;1;;
154;13;15/06/2003;16:00;Bahia;Vitoria;Bahia;2;1;1;;
155;13;15/06/2003;18:00;Vasco;Flamengo;Flamengo;1;2;2;;
156;13;15/06/2003;18:00;Cruzeiro;Atletico-MG;-;0;0;3;;
157;14;19/06/2003;16:00;Bahia;Coritiba;-;2;2;3;;
158;14;21/06/2003;16:00;Vasco;Criciuma;Vasco;2;0;1;;
159;14;21/06/2003;16:00;Atletico-MG;Gremio;Atletico-MG;3;2;1;;
160;14;21/06/2003;16:00;Internacional;Parana;Internacional;2;1;1;;
161;14;21/06/2003;18:00;Sao Paulo;Goias;Sao Paulo;1;0;1;;
162;14;22/06/2003;16:00;Paysandu;Flamengo;-;2;2;3;;
163;14;22/06/2003;16:00;Ponte Preta;Corinthians;-;3;3;3;;
164;14;22/06/2003;16:00;Sao Caetano;Vitoria;Sao Caetano;2;1;1;;
165;14;22/06/2003;16:00;Figueirense;Fortaleza;-;2;2;3;;
166;14;22/06/2003;18:00;Juventude;Cruzeiro;Cruzeiro;0;1;2;;
167;14;22/06/2003;18:00;Fluminense;Guarani;Fluminense;5;2;1;;
168;15;28/06/2003;16:00;Fortaleza;Vasco;Vasco;0;1;2;;
169;15;28/06/2003;16:00;Coritiba;Sao Caetano;Coritiba;2;0;1;;
170;15;28/06/2003;16:00;Gremio;Juventude;Juventude;1;4;2;;
171;15;28/06/2003;16:00;Santos;Bahia;Santos;4;0;1;;
172;15;28/06/2003;18:00;Flamengo;Figueirense;Figueirense;0;2;2;;
173;15;29/06/2003;16:00;Corinthians;Fluminense;Corinthians;1;0;1;;
174;15;29/06/2003;16:00;Guarani;Sao Paulo;Sao Paulo;0;1;2;;
175;15;29/06/2003;16:00;Criciuma;Paysandu;Criciuma;2;0;1;;
176;15;29/06/2003;16:00;Vitoria;Athletico-PR;Vitoria;1;0;1;;
177;15;29/06/2003;18:00;Cruzeiro;Internacional;Cruzeiro;3;2;1;;
178;15;29/06/2003;18:00;Parana;Atletico-MG;-;1;1;3;;
181;16;05/07/2003;16:00;Vasco;Parana;Parana;1;4;2;;
182;16;05/07/2003;16:00;Sao Paulo;Sao Caetano;-;1;1;3;;
183;16;05/07/2003;16:00;Figueirense;Cruzeiro;Figueirense;1;0;1;;
184;16;05/07/2003;16:00;Atletico-MG;Paysandu;Atletico-MG;3;2;1;;
185;16;06/07/2003;16:00;Gremio;Flamengo;Gremio;2;0;1;;
186;16;06/07/2003;16:00;Guarani;Goias;Guarani;3;2;1;;
187;16;06/07/2003;16:00;Athletico-PR;Corinthians;Athletico-PR;3;1;1;;
188;16;06/07/2003;16:00;Juventude;Internacional;-;1;1;3;;
189;16;06/07/2003;16:00;Fortaleza;Criciuma;Criciuma;0;1;2;;
190;16;06/07/2003;16:00;Vitoria;Ponte Preta;Ponte Preta;1;4;2;;
191;16;06/07/2003;18:00;Santos;Coritiba;Santos;3;1;1;;
192;16;06/07/2003;18:00;Fluminense;Bahia;Fluminense;1;0;1;;
193;17;09/07/2003;16:00;Sao Caetano;Athletico-PR;-;0;0;3;;
194;17;09/07/2003;16:00;Corinthians;Santos;-;1;1;3;;
195;17;09/07/2003;20:30;Cruzeiro;Fortaleza;Cruzeiro;2;0;1;;
196;17;09/07/2003;20:30;Bahia;Guarani;Bahia;2;0;1;;
197;17;09/07/2003;20:30;Paysandu;Figueirense;Paysandu;1;0;1;;
198;17;09/07/2003;20:30;Goias;Vitoria;-;1;1;3;;
199;17;09/07/2003;20:30;Flamengo;Juventude;Flamengo;2;1;1;;
200;17;09/07/2003;21:40;Internacional;Vasco;Internacional;2;1;1;;
201;17;09/07/2003;21:40;Coritiba;Sao Paulo;Sao Paulo;0;2;2;;
202;17;10/07/2003;20:30;Ponte Preta;Fluminense;Ponte Preta;3;0;1;;
203;17;10/07/2003;20:30;Criciuma;Atletico-MG;Criciuma;1;0;1;;
204;17;10/07/2003;20:30;Parana;Gremio;Parana;3;1;1;;
205;18;12/07/2003;16:00;Athletico-PR;Goias;-;0;0;3;;
206;18;12/07/2003;16:00;Fortaleza;Internacional;Fortaleza;3;0;1;;
207;18;12/07/2003;18:00;Vasco;Paysandu;Paysandu;0;2;2;;
208;18;13/07/2003;16:00;Atletico-MG;Flamengo;Atletico-MG;1;0;1;;
209;18;13/07/2003;16:00;Ponte Preta;Bahia;Ponte Preta;1;0;1;;
210;18;13/07/2003;16:00;Corinthians;Coritiba;Coritiba;0;1;2;;
211;18;13/07/2003;16:00;Criciuma;Juventude;Criciuma;3;0;1;;
212;18;13/07/2003;16:00;Figueirense;Parana;Figueirense;4;2;1;;
213;18;13/07/2003;16:00;Sao Caetano;Guarani;Guarani;0;2;2;;
214;18;13/07/2003;16:00;Fluminense;Sao Paulo;Sao Paulo;1;3;2;;
215;18;13/07/2003;18:00;Gremio;Cruzeiro;Cruzeiro;0;1;2;;
216;18;13/07/2003;18:00;Vitoria;Santos;Vitoria;2;0;1;;
217;19;16/07/2003;20:30;Flamengo;Fortaleza;Fortaleza;0;2;2;;
218;19;16/07/2003;20:30;Juventude;Figueirense;Figueirense;1;2;2;;
219;19;16/07/2003;20:30;Bahia;Sao Caetano;-;0;0;3;;
220;19;16/07/2003;20:30;Coritiba;Fluminense;Coritiba;3;0;1;;
221;19;16/07/2003;20:30;Guarani;Vitoria;-;2;2;3;;
222;19;16/07/2003;20:30;Internacional;Atletico-MG;-;3;3;3;;
223;19;16/07/2003;21:40;Santos;Ponte Preta;Santos;2;1;1;;
224;19;16/07/2003;21:40;Cruzeiro;Vasco;Cruzeiro;4;1;1;;
225;19;16/07/2003;21:40;Goias;Corinthians;-;1;1;3;;
226;19;17/07/2003;20:30;Paysandu;Gremio;-;1;1;3;;
227;19;17/07/2003;20:30;Sao Paulo;Athletico-PR;Sao Paulo;2;0;1;;
229;20;19/07/2003;16:00;Fluminense;Santos;Santos;1;4;2;;
230;20;19/07/2003;16:00;Corinthians;Guarani;Corinthians;1;0;1;;
231;20;19/07/2003;16:00;Fortaleza;Atletico-MG;Fortaleza;4;3;1;;
232;20;19/07/2003;18:00;Internacional;Figueirense;Internacional;3;0;1;;
233;20;20/07/2003;16:00;Juventude;Paysandu;Juventude;2;0;1;;
234;20;20/07/2003;16:00;Athletico-PR;Bahia;Athletico-PR;2;1;1;;
235;20;20/07/2003;16:00;Ponte Preta;Coritiba;-;1;1;3;;
236;20;20/07/2003;16:00;Criciuma;Flamengo;Criciuma;4;3;1;;
237;20;20/07/2003;16:00;Goias;Sao Caetano;Goias;2;1;1;;
238;20;20/07/2003;16:00;Vitoria;Sao Paulo;Sao Paulo;0;2;2;;
239;20;20/07/2003;18:00;Cruzeiro;Parana;Cruzeiro;5;1;1;;
240;20;20/07/2003;18:00;Vasco;Gremio;Vasco;2;0;1;;
241;21;23/07/2003;20:30;Parana;Fortaleza;Parana;4;1;1;;
242;21;23/07/2003;20:30;Atletico-MG;Juventude;Atletico-MG;2;1;1;;
243;21;23/07/2003;20:30;Paysandu;Cruzeiro;Paysandu;3;0;1;;
244;21;23/07/2003;20:30;Guarani;Athletico-PR;Guarani;1;0;1;;
245;21;23/07/2003;21:40;Figueirense;Vasco;-;0;0;3;;
246;21;23/07/2003;21:40;Santos;Goias;-;3;3;3;;
247;21;23/07/2003;21:40;Bahia;Corinthians;-;0;0;3;;
248;21;24/07/2003;20:30;Coritiba;Vitoria;-;1;1;3;;
249;21;24/07/2003;20:30;Gremio;Criciuma;Criciuma;0;2;2;;
250;21;24/07/2003;20:30;Flamengo;Internacional;Flamengo;2;1;1;;
251;21;24/07/2003;20:30;Sao Caetano;Fluminense;Sao Caetano;2;0;1;;
252;21;24/07/2003;20:30;Sao Paulo;Ponte Preta;Ponte Preta;1;2;2;;
253;22;26/07/2003;16:00;Santos;Vasco;Santos;2;1;1;;
254;22;26/07/2003;16:00;Goias;Atletico-MG;-;1;1;3;;
255;22;26/07/2003;16:00;Athletico-PR;Paysandu;-;1;1;3;;
256;22;27/07/2003;09:00;Fortaleza;Ponte Preta;Ponte Preta;2;3;2;;
257;22;27/07/2003;16:00;Juventude;Fluminense;Juventude;2;1;1;;
258;22;27/07/2003;16:00;Flamengo;Sao Paulo;-;1;1;3;;
259;22;27/07/2003;16:00;Criciuma;Coritiba;Coritiba;2;3;2;;
260;22;27/07/2003;16:00;Guarani;Figueirense;Guarani;3;0;1;;
261;22;27/07/2003;16:00;Vitoria;Parana;Parana;0;3;2;;
262;22;27/07/2003;16:00;Corinthians;Gremio;Corinthians;1;0;1;;
263;22;27/07/2003;18:00;Cruzeiro;Bahia;Cruzeiro;5;2;1;;
264;22;27/07/2003;18:00;Internacional;Sao Caetano;-;0;0;3;;
179;15;30/07/2003;20:30;Athletico-PR;Santos;Santos;0;2;2;;
180;15;30/07/2003;20:30;Goias;Ponte Preta;-;0;0;3;;
228;19;31/07/2003;20:30;Parana;Criciuma;Parana;2;1;1;;
265;23;02/08/2003;16:00;Fluminense;Cruzeiro;-;2;2;3;;
266;23;02/08/2003;16:00;Gremio;Santos;Gremio;2;0;1;;
267;23;02/08/2003;18:00;Sao Paulo;Internacional;Internacional;0;2;2;;
268;23;02/08/2003;18:00;Sao Caetano;Juventude;-;1;1;3;;
269;23;03/08/2003;16:00;Figueirense;Goias;Goias;0;1;2;;
270;23;03/08/2003;16:00;Parana;Corinthians;-;1;1;3;;
271;23;03/08/2003;16:00;Paysandu;Guarani;Paysandu;6;1;1;;
272;23;03/08/2003;16:00;Coritiba;Fortaleza;-;1;1;3;;
273;23;03/08/2003;16:00;Bahia;Criciuma;-;2;2;3;;
274;23;03/08/2003;16:00;Ponte Preta;Flamengo;-;1;1;3;;
275;23;03/08/2003;18:00;Vasco;Athletico-PR;Vasco;2;1;1;;
276;23;03/08/2003;18:00;Atletico-MG;Vitoria;Atletico-MG;1;0;1;;
277;24;06/08/2003;20:30;Vitoria;Paysandu;-;1;1;3;;
278;24;06/08/2003;20:30;Athletico-PR;Parana;Athletico-PR;1;0;1;;
279;24;06/08/2003;20:30;Criciuma;Sao Caetano;Sao Caetano;0;1;2;;
280;24;06/08/2003;20:30;Fortaleza;Fluminense;Fortaleza;3;1;1;;
281;24;06/08/2003;20:30;Juventude;Ponte Preta;-;0;0;3;;
282;24;06/08/2003;21:40;Santos;Atletico-MG;-;3;3;3;;
283;24;06/08/2003;21:40;Goias;Vasco;Goias;3;1;1;;
284;24;06/08/2003;21:40;Cruzeiro;Sao Paulo;-;1;1;3;;
288;24;07/08/2003;15:00;Internacional;Coritiba;Internacional;1;0;1;;
285;24;07/08/2003;20:30;Flamengo;Bahia;Flamengo;6;0;1;;
286;24;07/08/2003;20:30;Corinthians;Figueirense;Figueirense;0;1;2;;
287;24;07/08/2003;20:30;Guarani;Gremio;Guarani;2;0;1;;
289;25;09/08/2003;16:00;Fluminense;Criciuma;-;1;1;3;;
290;25;09/08/2003;16:00;Sao Caetano;Cruzeiro;Sao Caetano;2;0;1;;
291;25;09/08/2003;16:00;Parana;Santos;Santos;1;2;2;;
292;25;09/08/2003;18:00;Sao Paulo;Juventude;Sao Paulo;3;1;1;;
293;25;10/08/2003;16:00;Paysandu;Goias;-;2;2;3;;
294;25;10/08/2003;16:00;Ponte Preta;Internacional;Internacional;1;4;2;;
295;25;10/08/2003;16:00;Coritiba;Flamengo;Coritiba;5;0;1;;
296;25;10/08/2003;16:00;Atletico-MG;Corinthians;Corinthians;2;3;2;;
297;25;10/08/2003;16:00;Figueirense;Vitoria;Vitoria;1;2;2;;
298;25;10/08/2003;16:00;Bahia;Fortaleza;Bahia;1;0;1;;
299;25;10/08/2003;18:00;Vasco;Guarani;-;0;0;3;;
300;25;10/08/2003;18:00;Gremio;Athletico-PR;-;1;1;3;;
301;26;16/08/2003;16:00;Vasco;Vitoria;Vasco;1;0;1;;
302;26;16/08/2003;16:00;Bahia;Internacional;Internacional;1;3;2;;
303;26;16/08/2003;16:00;Figueirense;Santos;Figueirense;1;0;1;;
304;26;16/08/2003;16:00;Coritiba;Juventude;Coritiba;1;0;1;;
305;26;16/08/2003;18:00;Atletico-MG;Athletico-PR;Athletico-PR;1;2;2;;
306;26;16/08/2003;18:00;Sao Paulo;Criciuma;-;0;0;3;;
307;26;17/08/2003;16:00;Paysandu;Corinthians;-;2;2;3;;
308;26;17/08/2003;16:00;Sao Caetano;Fortaleza;Sao Caetano;3;0;1;;
309;26;17/08/2003;16:00;Ponte Preta;Cruzeiro;Cruzeiro;1;3;2;;
310;26;17/08/2003;16:00;Parana;Guarani;-;0;0;3;;
311;26;17/08/2003;16:00;Gremio;Goias;Goias;0;1;2;;
312;26;17/08/2003;18:00;Fluminense;Flamengo;Flamengo;0;1;2;;
313;27;20/08/2003;20:30;Flamengo;Sao Caetano;Flamengo;1;0;1;;
314;27;20/08/2003;20:30;Goias;Parana;Goias;1;0;1;;
315;27;20/08/2003;20:30;Juventude;Bahia;Juventude;1;0;1;;
316;27;20/08/2003;20:30;Cruzeiro;Coritiba;-;2;2;3;;
317;27;20/08/2003;20:30;Athletico-PR;Figueirense;Figueirense;1;2;2;;
318;27;20/08/2003;20:30;Vitoria;Gremio;Vitoria;4;1;1;;
319;27;20/08/2003;21:40;Santos;Paysandu;Santos;2;0;1;;
320;27;20/08/2003;21:40;Fortaleza;Sao Paulo;Sao Paulo;0;2;2;;
321;27;20/08/2003;21:40;Corinthians;Vasco;-;0;0;3;;
322;27;21/08/2003;15:00;Internacional;Fluminense;Fluminense;0;1;2;;
323;27;21/08/2003;20:30;Guarani;Atletico-MG;-;2;2;3;;
324;27;21/08/2003;20:30;Criciuma;Ponte Preta;Criciuma;3;0;1;;
325;28;23/08/2003;16:00;Santos;Flamengo;Santos;2;1;1;;
326;28;23/08/2003;16:00;Athletico-PR;Fortaleza;Athletico-PR;3;1;1;;
327;28;23/08/2003;16:00;Goias;Cruzeiro;Goias;1;0;1;;
328;28;23/08/2003;18:00;Gremio;Sao Caetano;-;0;0;3;;
329;28;24/08/2003;16:00;Vasco;Sao Paulo;Vasco;3;2;1;;
330;28;24/08/2003;16:00;Paysandu;Ponte Preta;Paysandu;3;2;1;;
331;28;24/08/2003;16:00;Parana;Fluminense;Parana;2;0;1;;
332;28;24/08/2003;16:00;Vitoria;Juventude;Vitoria;3;0;1;;
333;28;24/08/2003;16:00;Guarani;Criciuma;Guarani;1;0;1;;
334;28;24/08/2003;16:00;Figueirense;Coritiba;Coritiba;1;2;2;;
335;28;24/08/2003;18:00;Corinthians;Internacional;Corinthians;3;1;1;;
336;28;24/08/2003;18:00;Atletico-MG;Bahia;Atletico-MG;1;0;1;;
337;29;30/08/2003;16:00;Fluminense;Gremio;Fluminense;2;0;1;;
338;29;30/08/2003;16:00;Fortaleza;Santos;-;0;0;3;;
339;29;30/08/2003;16:00;Internacional;Vitoria;Vitoria;0;1;2;;
340;29;30/08/2003;18:00;Cruzeiro;Guarani;Cruzeiro;4;1;1;;
341;29;30/08/2003;18:00;Sao Paulo;Paysandu;Sao Paulo;1;0;1;;
342;29;31/08/2003;16:00;Sao Caetano;Vasco;Sao Caetano;1;0;1;;
343;29;31/08/2003;16:00;Juventude;Goias;Goias;0;2;2;;
344;29;31/08/2003;16:00;Flamengo;Corinthians;Flamengo;1;0;1;;
345;29;31/08/2003;16:00;Bahia;Parana;Bahia;4;2;1;;
346;29;31/08/2003;16:00;Ponte Preta;Figueirense;-;1;1;3;;
347;29;31/08/2003;18:00;Criciuma;Athletico-PR;Criciuma;2;0;1;;
348;29;31/08/2003;18:00;Coritiba;Atletico-MG;-;2;2;3;;
